{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:33:36.982717'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.346193'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.374224'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.395680'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.424607'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.451655'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.481977'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.507034'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.535782'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.563608'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.595153'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.620378'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.646444'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.671700'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.696298'}
{'command_pitch': '227', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '228', 'switch_states': '026000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'parachute_state': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-19 15:34:04.722242'}
